ID_global,ID_colleccion,Name_Collecion,Link
43000,000,Aprender,https://www.tiktok.com/@fiebredesalsa/video/7077700636418133253
43001,001,Aprender,https://www.tiktok.com/@pablolomeli.memoria/video/6947730295315533062
43002,002,Aprender,https://www.tiktok.com/@jeroyoshi/video/6901808108524375297
43003,003,Aprender,https://www.tiktok.com/@hmagoh/video/7006367693825707270
43004,004,Aprender,https://www.tiktok.com/@queestendencia/video/6875811578986515714
43005,005,Aprender,https://www.tiktok.com/@myknottips/video/7064637267305860358
43006,006,Aprender,https://www.tiktok.com/@adolfoalmarzaoficial/video/6989630288393424133
43007,007,Aprender,https://www.tiktok.com/@aprobadoalaprimera/video/7152581646498221317
43008,008,Aprender,https://www.tiktok.com/@haohaohao61/video/6915206336103877894
43009,009,Aprender,https://www.tiktok.com/@itsbrendis/video/6897728882267524353
43010,010,Aprender,https://www.tiktok.com/@la_pildora_magica/video/7189430329218813190
43011,011,Aprender,https://www.tiktok.com/@treadebotopvn/video/7162162223710817579
43012,012,Aprender,https://www.tiktok.com/@dra.cristinaneve/video/7224569987095072006
43013,013,Aprender,https://www.tiktok.com/@marcamparamagia/video/7078895793888906501
43014,014,Aprender,https://www.tiktok.com/@orobeats/video/7232630985630731546
43015,015,Aprender,https://www.tiktok.com/@k3_online/video/7227999147532602629
43016,016,Aprender,https://www.tiktok.com/@macadelpilarmusic/video/7212639916541496582
