ID_global,ID_colleccion,Name_Collecion,Link
30000,000,Concejos amor,https://www.tiktok.com/@emprendedormoderno/video/7133283815115509034
30001,001,Concejos amor,https://www.tiktok.com/@xesco_espar/video/7184379706358156550
30002,002,Concejos amor,https://www.tiktok.com/@somosproceso/video/7232079440623176965
30003,003,Concejos amor,https://www.tiktok.com/@apariciomeli/video/7254667840169463066
30004,004,Concejos amor,https://www.tiktok.com/@apariciomeli/video/7252798334841130267
30005,005,Concejos amor,https://www.tiktok.com/@apariciomeli/video/7240932359267274011
30006,006,Concejos amor,https://www.tiktok.com/@atraccioninterpersonal/video/7237205048948706587
30007,007,Concejos amor,https://www.tiktok.com/@emprendedormoderno/video/7147732285998058794
30008,008,Concejos amor,https://www.tiktok.com/@_sofiavalenzuela/video/7165343863551315205
30009,009,Concejos amor,https://www.tiktok.com/@carrotadventure/video/6999749822701948165
30010,010,Concejos amor,https://www.tiktok.com/@karenpalacioo/video/7142303487672585477
30011,011,Concejos amor,https://www.tiktok.com/@realbenjaminseda/video/7163892995933228334
30012,012,Concejos amor,https://www.tiktok.com/@maryangiecambas/video/7163699681242041646
30013,013,Concejos amor,https://www.tiktok.com/@somosproceso/video/7160827210260122885
30014,014,Concejos amor,https://www.tiktok.com/@ulissesm0/video/7127683866155814150
30015,015,Concejos amor,https://www.tiktok.com/@somosproceso/video/7113627797670743302
30016,016,Concejos amor,https://www.tiktok.com/@luigigotv/video/7116225353655307525
30017,017,Concejos amor,https://www.tiktok.com/@therobertawoodworth/video/7083562643079826693
30018,018,Concejos amor,https://www.tiktok.com/@lakarlanajera/video/7112609196335582469
30019,019,Concejos amor,https://www.tiktok.com/@pattimaciasec/video/6927039591597853957
30020,020,Concejos amor,https://www.tiktok.com/@pattimaciasec/video/6927039401432190214
30021,021,Concejos amor,https://www.tiktok.com/@pattimaciasec/video/6927039206904679686
30022,022,Concejos amor,https://www.tiktok.com/@apariciomeli/video/6967062824711507206
30023,023,Concejos amor,https://www.tiktok.com/@apariciomeli/video/6965951441630432517
30024,024,Concejos amor,https://www.tiktok.com/@consejosparamihijo/video/6968609537553108230
30025,025,Concejos amor,https://www.tiktok.com/@emprendedormoderno/video/7015636285377301766
30026,026,Concejos amor,https://www.tiktok.com/@soyelpande/video/6986624681524661509
30027,027,Concejos amor,https://www.tiktok.com/@alejandramerchane/video/6988924742367530245
30028,028,Concejos amor,https://www.tiktok.com/@regiinasaavedra/video/6875427741613837569
