ID_global,ID_colleccion,Name_Collecion,Link
18000,000,Ganar dinero,https://www.tiktok.com/@magemdrop05/video/7252119461501668613
18001,001,Ganar dinero,https://www.tiktok.com/@jpaask/video/7249296429431164186
18002,002,Ganar dinero,https://www.tiktok.com/@natixhseller/video/7003640943186365701
18003,003,Ganar dinero,https://www.tiktok.com/@fabianviaja/video/7148462503339625733
18004,004,Ganar dinero,https://www.tiktok.com/@rayosimple/video/7124009058155138309
18005,005,Ganar dinero,https://www.tiktok.com/@colectivomillennial/video/7190908605997059334
18006,006,Ganar dinero,https://www.tiktok.com/@colectivomillennial/video/7187914600870939909
18007,007,Ganar dinero,https://www.tiktok.com/@verdesenmenteyt/video/7189771672956701998
18008,008,Ganar dinero,https://www.tiktok.com/@de_0_a_una_yamaha_r15/video/7196433629268987142
18009,009,Ganar dinero,https://www.tiktok.com/@trevi_ia/video/7194320310471118086
18010,010,Ganar dinero,https://www.tiktok.com/@happpyschool/video/7186677079642082565
18011,011,Ganar dinero,https://www.tiktok.com/@tioshophunter/video/7205506948702227717
18012,012,Ganar dinero,https://www.tiktok.com/@jen.digital/video/7178214220318641454
18013,013,Ganar dinero,https://www.tiktok.com/@mechimansilla/video/7213887456209390854
18014,014,Ganar dinero,https://www.tiktok.com/@colectivomillennial/video/7201914395213958406
18015,015,Ganar dinero,https://www.tiktok.com/@guerrero.omar/video/7156763389740453125
18016,016,Ganar dinero,https://www.tiktok.com/@bernardofagot/video/7230876778703670533
18017,017,Ganar dinero,https://www.tiktok.com/@holasoy.natasha/video/7198012147585010950
18018,018,Ganar dinero,https://www.tiktok.com/@adriansaenzc/video/7214530630112136453
18019,019,Ganar dinero,https://www.tiktok.com/@colectivomillennial/video/7215706765558631685
