ID_global,ID_colleccion,Name_Collecion,Link
33000,000,Gente extrovertida,https://www.tiktok.com/@eliansancheez/video/7142321722077826310
33001,001,Gente extrovertida,https://www.tiktok.com/@verovramosc/video/7201835673786027269
33002,002,Gente extrovertida,https://www.tiktok.com/@8illy/video/7163042803906284846
33003,003,Gente extrovertida,https://www.tiktok.com/@sisiuve/video/7213357320242302214
33004,004,Gente extrovertida,https://www.tiktok.com/@elskipler/video/6940366483079892230
33005,005,Gente extrovertida,https://www.tiktok.com/@celestoboy/video/7079132795485916422
33006,006,Gente extrovertida,https://www.tiktok.com/@rodrigoortizzo/video/7118847918399868166
33007,007,Gente extrovertida,https://www.tiktok.com/@tommythanhbui/video/7167813516064492846
33008,008,Gente extrovertida,https://www.tiktok.com/@adri.mrdilema/video/7183359049772125445
33009,009,Gente extrovertida,https://www.tiktok.com/@rodrigodlcl_/video/7187475448664739077
33010,010,Gente extrovertida,https://www.tiktok.com/@ismaelfiloso/video/7161089309196455174
33011,011,Gente extrovertida,https://www.tiktok.com/@lasapaaaaa/video/7181254842034244870
33012,012,Gente extrovertida,https://www.tiktok.com/@sofaltuna/video/6852016704776572165
33013,013,Gente extrovertida,https://www.tiktok.com/@eduuhv13/video/7141561173861879046
33014,014,Gente extrovertida,https://www.tiktok.com/@que_descache_sann/video/7143744196124396806
33015,015,Gente extrovertida,https://www.tiktok.com/@cesarparavi/video/7108984538520374534
33016,016,Gente extrovertida,https://www.tiktok.com/@previateesta/video/7108507649846627589
33017,017,Gente extrovertida,https://www.tiktok.com/@awakatiito_/video/7105962810127027461
33018,018,Gente extrovertida,https://www.tiktok.com/@anderson.ic/video/7106870520695606530
33019,019,Gente extrovertida,https://www.tiktok.com/@lee_vc/video/7096347606045035781
33020,020,Gente extrovertida,https://www.tiktok.com/@jounggustav/video/7045227200588680453
33021,021,Gente extrovertida,https://www.tiktok.com/@superboumj/video/7092073943565143301
