ID_global,ID_colleccion,Name_Collecion,Link
38000,000,Gentuza ligando,https://www.tiktok.com/@herr_bader/video/7230216748270669061
38001,001,Gentuza ligando,https://www.tiktok.com/@tomaslabarere/video/7176004704617450757
38002,002,Gentuza ligando,https://www.tiktok.com/@soyjeancarlosms/video/7251836734038707461
38003,003,Gentuza ligando,https://www.tiktok.com/@franlucenasotoo/video/7234507017505754395
38004,004,Gentuza ligando,https://www.tiktok.com/@elmanguitoo/video/7244207260119993605
38005,005,Gentuza ligando,https://www.tiktok.com/@erickronaldo_/video/7141912579407973678
38006,006,Gentuza ligando,https://www.tiktok.com/@juanjop0/video/7144137169391717638
38007,007,Gentuza ligando,https://www.tiktok.com/@aprendizdelseductor/video/7133946685608299782
38008,008,Gentuza ligando,https://www.tiktok.com/@martinlondono/video/7150784279780379910
38009,009,Gentuza ligando,https://www.tiktok.com/@mikeamacho/video/7104490090558147845
38010,010,Gentuza ligando,https://www.tiktok.com/@juanjop0/video/7112159334678793478
38011,011,Gentuza ligando,https://www.tiktok.com/@jackdenmo/video/6885754305333202178
38012,012,Gentuza ligando,https://www.tiktok.com/@danny.prk/video/7199323251808521478
38013,013,Gentuza ligando,https://www.tiktok.com/@juanjop0/video/7177150859602693381
38014,014,Gentuza ligando,https://www.tiktok.com/@johnyonthestreet/video/7171926606129220906
38015,015,Gentuza ligando,https://www.tiktok.com/@rosetimen/video/7154825305234869510
38016,016,Gentuza ligando,https://www.tiktok.com/@mikeamacho/video/7103294093710740741
38017,017,Gentuza ligando,https://www.tiktok.com/@quienes.juan/video/7217995506994187525
38018,018,Gentuza ligando,https://www.tiktok.com/@quienes.juan/video/7201977654893972742
38019,019,Gentuza ligando,https://www.tiktok.com/@quienes.juan/video/7216164875763010821
38020,020,Gentuza ligando,https://www.tiktok.com/@quienes.juan/video/7194637964943576326
38021,021,Gentuza ligando,https://www.tiktok.com/@tiemporadical/video/7189273316677438726
38022,022,Gentuza ligando,https://www.tiktok.com/@johnyonthestreet/video/7193501349823188267
38023,023,Gentuza ligando,https://www.tiktok.com/@quienes.juan/video/7187549408442043654
38024,024,Gentuza ligando,https://www.tiktok.com/@steven_schapiro/video/7135839963064601902
