ID_global,ID_colleccion,Name_Collecion,Link
44000,000,Life hacks,https://www.tiktok.com/@aprendeconplatzi/video/6881281786010356994
44001,001,Life hacks,https://www.tiktok.com/@soymaulozano/video/7209307107038874923
44002,002,Life hacks,https://www.tiktok.com/@linkfydev/video/7096491659143220485
44003,003,Life hacks,https://www.tiktok.com/@dmorenogaviria/video/7137427494113709318
44004,004,Life hacks,https://www.tiktok.com/@angesilvaj/video/6829096588250451205
44005,005,Life hacks,https://www.tiktok.com/@doctorvic/video/6862174908739243269
44006,006,Life hacks,https://www.tiktok.com/@lifemovil/video/7072418560324209926
44007,007,Life hacks,https://www.tiktok.com/@autodoc.eu/video/6886846319596457218
44008,008,Life hacks,https://www.tiktok.com/@instructorsttorres/video/6872842769472212226
44009,009,Life hacks,https://www.tiktok.com/@alvamajo/video/7142121496570252550
44010,010,Life hacks,https://www.tiktok.com/@zonabajon/video/7049413721583570182
44011,011,Life hacks,https://www.tiktok.com/@cesarvegaeconomista/video/7040913486641138949
44012,012,Life hacks,https://www.tiktok.com/@jorgevalenzuelam/video/7038734354616470790
44013,013,Life hacks,https://www.tiktok.com/@elingenierodeyoutube/video/7165254271405919493
44014,014,Life hacks,https://www.tiktok.com/@tamayobit/video/7153644267196419334
44015,015,Life hacks,https://www.tiktok.com/@colectivomillennial/video/7121796971345497349
44016,016,Life hacks,https://www.tiktok.com/@karinlombana/video/7191109427682905349
44017,017,Life hacks,https://www.tiktok.com/@blinkensteins_micky/video/7199223346876157190
