ID_global,ID_colleccion,Name_Collecion,Link
34000,000,Oratoria,https://www.tiktok.com/@expresateenpublico/video/7247051740221033733
34001,001,Oratoria,https://www.tiktok.com/@gabrielperezorador/video/7249181149757590790
34002,002,Oratoria,https://www.tiktok.com/@cursosjlg/video/7237258812997061893
34003,003,Oratoria,https://www.tiktok.com/@fermiralles/video/7096866136561601797
34004,004,Oratoria,https://www.tiktok.com/@mpdelasheras/video/6926863297429998854
34005,005,Oratoria,https://www.tiktok.com/@keelocuente/video/7160081675093937413
34006,006,Oratoria,https://www.tiktok.com/@paco.benitez/video/7178345722377407750
34007,007,Oratoria,https://www.tiktok.com/@fermiralles/video/7215711827768904966
34008,008,Oratoria,https://www.tiktok.com/@fermiralles/video/7220723841243368710
34009,009,Oratoria,https://www.tiktok.com/@lorenagaramm/video/7207789327580073221
34010,010,Oratoria,https://www.tiktok.com/@fermiralles/video/7212896420968303877
34011,011,Oratoria,https://www.tiktok.com/@paco.benitez/video/7212442702309248262
34012,012,Oratoria,https://www.tiktok.com/@marcelosalazare/video/7213432766921231621
34013,013,Oratoria,https://www.tiktok.com/@jackgordonyt/video/7177050890283797806
34014,014,Oratoria,https://www.tiktok.com/@lapicoangela/video/7121886557111340294
34015,015,Oratoria,https://www.tiktok.com/@brinalunatica/video/7169285324336647429
